scat_number,date,time,volume
4034,10/30/2006,04:15,8.5
4034,10/30/2006,04:30,12.5
4034,10/30/2006,04:45,15.25
4034,10/30/2006,05:00,15.75
4034,10/30/2006,05:15,20.5
4034,10/30/2006,05:30,26.75
4034,10/30/2006,05:45,32.0
4034,10/30/2006,06:00,50.25
4034,10/30/2006,06:15,80.75
4034,10/30/2006,06:30,109.5
4034,10/30/2006,06:45,147.5
4034,10/30/2006,07:00,163.75
4034,10/30/2006,07:15,189.5
4034,10/30/2006,07:30,225.25
4034,10/30/2006,07:45,239.75
4034,10/30/2006,08:00,230.75
4034,10/30/2006,08:15,232.0
4034,10/30/2006,08:30,227.5
4034,10/30/2006,08:45,215.5
4034,10/30/2006,09:00,195.5
4034,10/30/2006,09:15,171.75
4034,10/30/2006,09:30,166.75
4034,10/30/2006,09:45,155.0
4034,10/30/2006,10:00,163.0
4034,10/30/2006,10:15,171.0
4034,10/30/2006,10:30,152.5
4034,10/30/2006,10:45,160.5
4034,10/30/2006,11:00,146.75
4034,10/30/2006,11:15,149.75
4034,10/30/2006,11:30,162.25
4034,10/30/2006,11:45,150.25
4034,10/30/2006,12:00,162.75
4034,10/30/2006,12:15,155.5
4034,10/30/2006,12:30,155.0
4034,10/30/2006,12:45,159.0
4034,10/30/2006,13:00,156.75
4034,10/30/2006,13:15,152.25
4034,10/30/2006,13:30,163.5
4034,10/30/2006,13:45,174.0
4034,10/30/2006,14:00,147.5
